9.54	10	10.43	10.9	11.25	11.81	12.16	12.72	15.45	15.9	16.36	16.81	18.17	18.63	19	19.47	19.99	20.45	20.9	21.35	21.81	22.28	22.72	23.13	23.63	24.08	24.51	24.99	25.44	25.9	26.35	27.26	29.08	29.53	29.99	30.44	30.9	31.35	31.8	32.26	32.71	33.17	33.62	34.02	34.53	34.98	35.4	35.89	36.35	36.78	37.26	37.71	38.16	38.62	39.07	39.53	39.98	40.44	40.89	41.34	41.8	42.25	42.71	43.16	43.62	44.07	44.53	44.98	45.43	45.89	46.34	46.8	47.25	47.71	48.16	48.55	49.07	49.52	49.98	50.43	50.89	51.79	52.25	52.7	53.16	53.59	54.07	54.47	54.92																				
10.74	11.28	11.75	12.27	12.65	13.09	13.56	14.05	14.54	14.9	15.45	15.9	16.36	16.81	17.26	17.72	18.17	18.63	19.08	19.42	19.99	20.45	20.9	21.35	21.81	22.23	22.72	23.17	23.63	24.08	24.53	24.99	25.44	25.9	26.35	26.81	28.62	29.08	29.53	30.9	31.35	31.8	32.26	32.71	33.17	33.62	34.08	34.53	34.98	35.44	35.89	36.35	36.8	37.26	37.71	38.16	38.62	39.07	39.53	39.98	40.44	40.89	41.34	41.8	42.25	42.71	43.16	43.62	44.07	44.47	44.98	45.43	45.89	46.34	46.8	47.25	47.68	48.16	48.61	49.98	50.43	51.34	51.76	52.25																									
9.54	9.98	10.43	10.84	11.36	11.8	12.26	12.72	13.63	14.01	14.54	14.99	15.45	15.89	16.29	16.75	17.26	17.72	18.17	18.48	19.08	19.54	19.99	20.9	21.81	23.17	24.08	24.53	24.99	25.9	26.35	26.81	28.62	29.08	29.53	29.87	30.44	31.35	31.8	32.26	32.71	33.17	33.62	34.08	34.53	34.98	35.34	35.89	36.35	36.74	37.26	37.71	38.16	38.62	39.07	39.53	39.98	40.44	40.89	41.34	41.8	42.25	42.71	43.16	43.62	44.07	44.53	44.98	45.43	45.89	46.34	46.8	47.25	47.65	48.16	48.61	49.07	49.52	49.98	50.43	50.89	51.34																											
13.63	13.86	14.49	14.91	15.44	15.9	16.36	16.81	17.26	17.72	18.11	18.63	19.08	19.54	19.99	20.45	20.9	21.35	21.81	23.17	23.63	24.08	24.53	24.99	25.44	25.9	26.35	26.81	27.2	27.71	28.1	28.62	29.99	30.44	30.9	31.35	31.8	32.26	32.71	33.17	33.62	34.08	34.53	34.98	35.37	35.89	36.35	36.75	37.26	37.71	38.16	38.62	39.07	39.53	39.98	40.44	40.89	41.34	41.8	42.25	42.71	43.16	43.62	44.07	44.52	44.98	45.43	45.89	46.34	46.8	47.25	47.71	48.16	48.61	49.07	49.52	49.98	50.43	51.34	51.79																													
15.9	16.36	16.81	17.26	17.72	18.17	18.63	19.08	19.54	19.99	20.45	20.9	21.35	21.77	22.23	22.72	23.17	24.08	24.53	24.99	25.44	25.9	27.71	28.62	29.08	29.53	29.92	30.44	30.9	31.35	31.8	32.26	32.71	33.17	33.62	34.08	34.53	34.98	35.44	35.89	36.35	36.75	37.26	37.71	38.16	38.62	39.07	39.53	39.98	40.44	40.89	41.34	41.8	42.25	42.71	43.16	43.62	44.07	44.52	44.98	45.43	45.89	46.34	46.8	47.25	47.69	48.16	48.55	49.07	49.52	49.98	50.42	50.89	51.34	51.79	52.25	52.7																																
5.91	8.18	8.61	8.98	9.54	10	10.35	10.82	11.35	11.74	12.27	12.72	13.18	13.55	14.08	14.54	14.87	15.45	15.9	16.36	16.81	17.26	17.72	18.17	18.63	19.08	19.54	19.99	20.45	20.9	21.35	21.81	22.21	22.72	23.13	23.63	24.08	24.53	24.99	25.44	25.9	26.35	26.81	27.26	27.57	28.12	28.62	29.08	29.53	29.85	30.44	30.9	31.35	31.8	32.26	32.71	33.17	33.62	34.08	34.53	34.98	35.44	35.89	36.35	36.8	37.26	37.71	38.16	38.56	39.07	39.53	39.98	40.44	40.89	41.34	41.72	42.25	42.71	43.16	43.5	44.07	44.53	44.98	45.43	45.76	46.27	46.8	47.25	47.71	48.16	48.55	49.07	49.52	51.34	51.79	52.25	52.7	53.61	54.52	55.43	56.34								
6.36	6.88	7.27	7.72	8.18	8.73	9.32	9.65	10	10.45	10.86	11.36	11.81	12.26	12.72	13.1	13.63	14.08	14.54	14.99	15.45	15.9	16.36	16.81	17.26	17.72	18.17	18.63	19.08	19.54	19.99	20.45	20.9	21.35	21.81	22.2	22.7	23.17	23.63	24.08	24.53	24.99	25.44	25.9	26.35	26.81	27.26	27.71	28.08	28.62	29.08	29.53	29.84	30.44	30.9	31.3	31.8	32.26	32.71	33.17	33.62	34.08	34.53	34.98	35.36	35.89	36.35	36.8	37.26	37.71	38.16	38.61	39.07	39.53	39.98	40.44	40.89	41.34	41.8	42.25	42.71	43.16	43.48	43.93	44.53	44.98	45.43	45.8	46.28	46.8	47.25	47.71	48.16	48.6	49.07	49.52	49.98	50.43	50.87	51.34	51.79	52.25	52.55	53.03	54.51	54.93	55.86		
6.82	7.12	7.72	8.1	8.63	10	10.45	10.9	11.31	11.69	12.27	12.72	13.18	13.63	14.08	14.54	14.99	15.39	15.85	16.36	16.81	17.26	17.72	18.17	18.63	19.08	19.54	19.99	20.42	20.9	21.34	21.81	22.17	22.72	23.17	23.63	24.08	24.53	24.99	25.44	25.9	26.35	26.81	27.26	27.71	28.09	28.62	29.08	29.53	29.92	30.44	30.9	31.27	31.8	32.26	32.65	33.17	33.62	34	34.53	34.98	35.41	35.89	36.35	36.8	37.26	37.71	38.16	38.62	39.07	39.53	39.98	40.44	40.89	41.34	41.8	42.25	42.71	43.16	43.54	44.06	44.53	44.98	45.43	45.81	46.27	46.8	47.25	47.71	48.1	48.61	49.07	49.52	49.94	50.43	50.89	51.34	51.79	52.25	52.7	53.16	53.61	54.07	54.52	54.98	55.37	55.8	56.34	56.79
6.53	7.08	7.72	8.24	8.81	9.16	9.59	10	10.45	10.8	11.29	11.81	13.18	13.63	14.99	15.9	17.26	17.72	18.17	18.63	19.08	19.54	19.99	20.9	21.22	21.81	22.2	22.61	23.17	23.63	24.08	24.53	24.99	25.44	25.9	26.35	26.81	27.28	27.71	28.21	28.62	29.08	29.53	29.99	30.44	30.9	31.35	31.8	32.26	32.68	33.17	33.62	34.06	34.53	34.98	35.42	35.89	36.35	36.8	37.26	37.71	38.16	38.59	39.07	39.52	39.95	40.44	40.89	41.31	41.8	43.62	44.05	44.54	45.03	45.55	46.24	46.8	47.25	47.71	48.09	48.52	49.07	49.52	49.98	51.34	51.79	52.25	52.7	53.16	53.61	54.07	54.47	54.98	55.45	55.97														
14.54	14.99	15.45	15.8	16.28	16.81	17.26	17.72	18.17	18.63	19.08	19.54	19.99	20.45	20.9	21.23	21.81	22.19	22.67	23.17	23.63	24.08	24.53	24.99	25.44	25.9	26.35	26.81	27.26	27.71	29.08	29.53	29.92	30.44	30.9	31.33	31.8	32.26	32.66	33.17	33.62	33.99	34.53	34.98	35.35	35.89	36.35	37.26	37.71	38.16	38.62	39.07	39.98	40.44	40.89	41.34	41.8	42.25	42.71	43.16	43.62	44.04	44.53	44.98	45.43	45.85	46.34	46.8	47.25	47.71	48.11	48.61	49.07	49.52	49.98	50.43	50.8	51.34	51.79	52.25	52.67	53.16	53.6	54.07	54.52	54.98																							
